subject_id,spider score, parent CTX image, center latitude, center longitude
1044868,0.814,"P13_006151_0974_XN_82S055W",-81.86,302.16
490035,0.813,"P12_005790_0978_XI_82S284W",-82.30,75.52
491506,0.813,"D14_032675_0924_XN_87S253W",-87.50,109.83
1045055,0.812,"P13_006151_0974_XN_82S055W",-81.96,302.89
1491748,0.810,"P13_006197_0930_XN_87S187W",-86.94,173.30
492032,0.809,"P13_006148_1028_XN_77S342W",-79.10,20.25
492030,0.809,"P13_006148_1028_XN_77S342W",-79.22,20.42
488309,0.809,"P13_006204_0986_XN_81S065W",-81.69,295.30
491850,0.809,"P13_006148_1028_XN_77S342W",-79.60,20.25
491503,0.808,"D14_032675_0924_XN_87S253W",-87.67,110.94
491856,0.807,"P13_006148_1028_XN_77S342W",-79.25,19.73
490261,0.807,"G14_023591_0996_XN_80S284W",-80.82,75.87
491465,0.807,"D14_032675_0924_XN_87S253W",-88.02,106.01
491518,0.807,"D14_032675_0924_XN_87S253W",-87.42,111.27
488432,0.807,"P13_006204_0986_XN_81S065W",-81.79,297.03
489849,0.807,"D13_032173_1031_XN_76S227W",-77.26,133.19
491480,0.806,"D14_032675_0924_XN_87S253W",-87.77,107.09
1045035,0.806,"P13_006151_0974_XN_82S055W",-82.24,303.65
489831,0.805,"D13_032173_1031_XN_76S227W",-77.05,132.36
488388,0.804,"P13_006204_0986_XN_81S065W",-81.93,296.90
491490,0.804,"D14_032675_0924_XN_87S253W",-87.81,109.64
1514944,0.803,"P13_006234_1008_XN_79S168W",-78.38,189.25
1515131,0.802,"P13_006234_1008_XN_79S168W",-79.32,191.87
1044658,0.802,"P13_006151_0974_XN_82S055W",-82.29,302.73
1047765,0.802,"D14_032593_1037_XN_76S174W",-76.63,186.14
1515183,0.802,"P13_006234_1008_XN_79S168W",-79.24,192.13
1510468,0.801,"D14_032733_1028_XN_77S036W",-77.65,323.69
1047741,0.801,"D14_032593_1037_XN_76S174W",-76.29,185.51
1039930,0.800,"D13_032278_0991_XN_80S204W",-81.12,156.87
1510690,0.799,"P13_006282_1046_XN_75S043W",-77.65,319.48
1047713,0.799,"D14_032593_1037_XN_76S174W",-76.65,185.86
1320831,0.799,"P12_005839_0994_XI_80S170W",-81.01,189.94
488389,0.797,"P13_006204_0986_XN_81S065W",-81.87,296.75
487950,0.797,"P13_005953_1020_XN_78S057W",-80.36,306.00
1491905,0.796,"G14_023524_0999_XN_80S262W",-80.17,96.54
1514892,0.795,"P13_005958_1030_XI_77S195W",-76.88,165.44
