subject_id,swiss cheese score, parent CTX image, center latitude, center longitude
1042222,0.860,"P13_006176_0935_XN_86S350W",-86.31,7.18
487100,0.860,"P13_006229_0951_XN_84S014W",-85.32,345.83
1491813,0.859,"G14_023835_0906_XN_89S050W",-89.45,306.73
487509,0.859,"P13_006229_0951_XN_84S014W",-86.33,3.35
487522,0.859,"P13_006229_0951_XN_84S014W",-85.77,355.27
1320602,0.859,"P13_006005_0947_XN_85S015W",-86.01,352.09
1040165,0.859,"P13_006123_0953_XN_84S001W",-86.69,17.90
1514572,0.859,"D14_032656_0959_XI_84S078W",-84.23,281.86
487428,0.858,"P13_006229_0951_XN_84S014W",-86.12,358.65
1040265,0.858,"P13_006123_0953_XN_84S001W",-86.08,9.75
487632,0.858,"P13_006167_0931_XN_86S092W",-86.80,261.21
1042213,0.858,"P13_006176_0935_XN_86S350W",-86.67,13.92
487657,0.857,"P13_006167_0931_XN_86S092W",-86.97,271.09
487512,0.857,"P13_006229_0951_XN_84S014W",-86.20,1.28
1040162,0.857,"P13_006123_0953_XN_84S001W",-86.80,20.37
488750,0.857,"G14_023807_0886_XN_88S313W",-88.54,38.97
487433,0.857,"P13_006229_0951_XN_84S014W",-85.90,355.69
487087,0.857,"P13_006229_0951_XN_84S014W",-85.97,351.72
1042221,0.857,"P13_006176_0935_XN_86S350W",-86.35,7.86
1042261,0.857,"P13_006176_0935_XN_86S350W",-86.05,4.70
1043513,0.857,"D14_032682_0925_XN_87S066W",-87.12,293.43
1501118,0.856,"D14_032523_0954_XN_84S045W",-84.51,312.75
487348,0.856,"P13_006229_0951_XN_84S014W",-85.85,353.89
1492695,0.856,"D14_032511_0959_XI_84S078W",-84.29,280.74
1514600,0.856,"D14_032511_0959_XI_84S078W",-84.16,283.03
487665,0.856,"P13_006167_0931_XN_86S092W",-86.72,263.44
487262,0.856,"P13_006229_0951_XN_84S014W",-85.84,352.65
1319778,0.855,"G15_023927_0932_XI_86S057W",-86.63,300.25
1319753,0.855,"G15_023927_0932_XI_86S057W",-86.84,301.71
1514598,0.855,"D14_032511_0959_XI_84S078W",-84.27,283.65
483905,0.855,"P13_005941_0947_XI_85S065W",-84.88,289.34
1040804,0.854,"D14_032510_0963_XN_83S054W",-83.86,305.47
488753,0.854,"G14_023807_0886_XN_88S313W",-88.62,32.35
1514602,0.854,"D14_032511_0959_XI_84S078W",-84.06,282.44
1039975,0.854,"G14_023794_0952_XN_84S061W",-85.17,300.51
488741,0.854,"G14_023807_0886_XN_88S313W",-88.66,35.96
1040831,0.854,"D14_032510_0963_XN_83S054W",-83.53,305.36
1040081,0.854,"P13_006123_0953_XN_84S001W",-86.61,14.84
1040168,0.854,"P13_006123_0953_XN_84S001W",-86.57,15.60
1043477,0.853,"D14_032682_0925_XN_87S066W",-87.51,294.56
1040031,0.853,"G14_023833_0926_XN_87S017W",-87.61,347.19
1501136,0.853,"D14_032523_0954_XN_84S045W",-84.66,315.21
487336,0.853,"P13_006229_0951_XN_84S014W",-86.38,1.26
1491810,0.852,"G14_023835_0906_XN_89S050W",-89.48,325.92
484027,0.852,"P13_005941_0947_XI_85S065W",-85.51,296.47
487159,0.852,"P13_006229_0951_XN_84S014W",-86.60,1.97
1040098,0.852,"P13_006123_0953_XN_84S001W",-85.83,4.53
1040340,0.852,"P13_006123_0953_XN_84S001W",-86.55,18.58
487334,0.851,"P13_006229_0951_XN_84S014W",-86.47,2.69
1320385,0.851,"P13_006005_0947_XN_85S015W",-86.71,358.68
1501152,0.851,"D14_032523_0954_XN_84S045W",-84.36,314.23
1320653,0.851,"P13_006005_0947_XN_85S015W",-86.66,4.78
1320489,0.851,"P13_006005_0947_XN_85S015W",-84.94,340.33
1040093,0.851,"P13_006123_0953_XN_84S001W",-86.07,7.14
1040179,0.851,"P13_006123_0953_XN_84S001W",-86.08,8.44
483797,0.851,"P13_005941_0947_XI_85S065W",-86.76,311.34
483812,0.851,"P13_005941_0947_XI_85S065W",-86.14,300.41
1043044,0.850,"G14_023728_0958_XI_84S057W",-84.23,303.88
1040026,0.850,"G14_023833_0926_XN_87S017W",-87.45,339.46
487600,0.850,"P13_006167_0931_XN_86S092W",-86.83,258.03
1042840,0.849,"G14_023728_0958_XI_84S057W",-84.30,301.24
487063,0.849,"P13_006229_0951_XN_84S014W",-87.00,8.83
1040053,0.849,"G14_023833_0926_XN_87S017W",-87.50,348.83
1319789,0.849,"G15_023927_0932_XI_86S057W",-86.58,300.85
1492653,0.849,"D14_032656_0959_XI_84S078W",-84.28,282.15
488707,0.848,"G14_023807_0886_XN_88S313W",-88.83,43.60
1514582,0.848,"D14_032511_0959_XI_84S078W",-84.34,282.50
1043433,0.848,"D14_032682_0925_XN_87S066W",-87.56,289.23
1492625,0.848,"D14_032656_0959_XI_84S078W",-84.26,279.84
1514592,0.847,"D14_032511_0959_XI_84S078W",-84.20,282.47
1514601,0.847,"D14_032511_0959_XI_84S078W",-84.11,282.73
488708,0.846,"G14_023807_0886_XN_88S313W",-88.87,41.05
1040840,0.846,"D14_032510_0963_XN_83S054W",-83.61,306.37
1042125,0.846,"P13_006176_0935_XN_86S350W",-86.22,1.78
1040336,0.845,"P13_006123_0953_XN_84S001W",-86.70,21.80
484070,0.845,"P13_005941_0947_XI_85S065W",-86.52,313.09
1514577,0.844,"D14_032511_0959_XI_84S078W",-84.37,281.91
1042262,0.844,"P13_006176_0935_XN_86S350W",-86.00,4.11
485480,0.844,"G14_023687_1031_XN_76S036W",-78.10,323.70
487250,0.843,"P13_006229_0951_XN_84S014W",-86.39,359.83
487593,0.841,"P13_006167_0931_XN_86S092W",-87.08,264.49
1039985,0.841,"G14_023794_0952_XN_84S061W",-84.62,297.63
1040202,0.840,"P13_006123_0953_XN_84S001W",-84.93,358.24
483863,0.840,"P13_005941_0947_XI_85S065W",-86.78,313.75
1044441,0.839,"D14_032666_0916_XN_88S350W",-88.22,7.48
487425,0.838,"P13_006229_0951_XN_84S014W",-86.25,0.59
1040822,0.836,"D14_032510_0963_XN_83S054W",-83.45,304.38
487331,0.836,"P13_006229_0951_XN_84S014W",-86.58,4.97
1039984,0.835,"G14_023794_0952_XN_84S061W",-84.68,297.89
487497,0.835,"P13_006229_0951_XN_84S014W",-86.76,13.11
1042292,0.834,"P13_006176_0935_XN_86S350W",-86.13,7.27
1040358,0.834,"P13_006123_0953_XN_84S001W",-85.76,7.18
1042298,0.834,"P13_006176_0935_XN_86S350W",-85.87,3.64
487626,0.833,"P13_006167_0931_XN_86S092W",-87.00,266.83
1042814,0.831,"G14_023728_0958_XI_84S057W",-84.44,301.17
1042199,0.831,"P13_006176_0935_XN_86S350W",-85.86,359.91
487612,0.831,"P13_006167_0931_XN_86S092W",-86.96,263.24
1320720,0.830,"P13_006005_0947_XN_85S015W",-86.64,6.27
1040533,0.830,"P13_006123_0953_XN_84S001W",-85.63,8.04
487249,0.830,"P13_006229_0951_XN_84S014W",-86.43,0.53
1320454,0.829,"P13_006005_0947_XN_85S015W",-86.62,358.64
1320457,0.828,"P13_006005_0947_XN_85S015W",-86.49,356.43
1043432,0.827,"D14_032682_0925_XN_87S066W",-87.61,289.84
1042834,0.827,"G14_023728_0958_XI_84S057W",-84.52,302.33
1040068,0.827,"G14_023833_0926_XN_87S017W",-87.31,345.11
483856,0.826,"P13_005941_0947_XI_85S065W",-83.90,283.05
1040829,0.826,"D14_032510_0963_XN_83S054W",-83.64,305.84
1040841,0.826,"D14_032510_0963_XN_83S054W",-83.56,306.13
487164,0.826,"P13_006229_0951_XN_84S014W",-86.39,358.41
488717,0.826,"G14_023807_0886_XN_88S313W",-88.74,43.93
1320450,0.825,"P13_006005_0947_XN_85S015W",-86.78,1.86
1040048,0.824,"G14_023833_0926_XN_87S017W",-87.34,341.33
1044272,0.824,"D14_032666_0916_XN_88S350W",-88.77,6.86
1042842,0.823,"G14_023728_0958_XI_84S057W",-84.24,300.98
1043512,0.823,"D14_032682_0925_XN_87S066W",-87.17,294.03
1040260,0.822,"P13_006123_0953_XN_84S001W",-86.31,12.86
1491833,0.822,"G14_023835_0906_XN_89S050W",-89.30,320.85
487071,0.822,"P13_006229_0951_XN_84S014W",-86.69,1.98
487501,0.822,"P13_006229_0951_XN_84S014W",-86.63,9.59
1040040,0.822,"G14_023833_0926_XN_87S017W",-87.28,337.45
487650,0.821,"P13_006167_0931_XN_86S092W",-86.71,261.04
487645,0.821,"P13_006167_0931_XN_86S092W",-86.88,265.54
487340,0.820,"P13_006229_0951_XN_84S014W",-86.21,358.57
487072,0.819,"P13_006229_0951_XN_84S014W",-86.65,1.22
1492657,0.819,"D14_032656_0959_XI_84S078W",-84.06,281.03
487427,0.819,"P13_006229_0951_XN_84S014W",-86.17,359.28
1040249,0.819,"P13_006123_0953_XN_84S001W",-86.75,21.10
1040254,0.819,"P13_006123_0953_XN_84S001W",-86.56,17.09
487615,0.818,"P13_006167_0931_XN_86S092W",-86.85,260.50
1320387,0.818,"P13_006005_0947_XN_85S015W",-86.62,357.14
1320603,0.818,"P13_006005_0947_XN_85S015W",-85.96,351.51
487616,0.818,"P13_006167_0931_XN_86S092W",-86.81,259.62
488719,0.817,"G14_023807_0886_XN_88S313W",-88.80,39.14
1492638,0.817,"D14_032656_0959_XI_84S078W",-84.12,279.89
1492639,0.816,"D14_032656_0959_XI_84S078W",-84.07,279.63
1492679,0.816,"D14_032656_0959_XI_84S078W",-84.00,282.15
1040337,0.816,"P13_006123_0953_XN_84S001W",-86.66,20.97
1042232,0.814,"P13_006176_0935_XN_86S350W",-85.86,1.15
1319785,0.814,"G15_023927_0932_XI_86S057W",-86.70,304.41
1040800,0.813,"D14_032510_0963_XN_83S054W",-83.50,303.32
1042256,0.813,"P13_006176_0935_XN_86S350W",-86.26,7.89
488737,0.813,"G14_023807_0886_XN_88S313W",-88.54,44.54
487613,0.813,"P13_006167_0931_XN_86S092W",-86.92,262.31
1042152,0.813,"P13_006176_0935_XN_86S350W",-86.49,7.09
1040074,0.813,"P13_006123_0953_XN_84S001W",-86.89,20.50
1043439,0.812,"D14_032682_0925_XN_87S066W",-87.22,286.04
1042233,0.812,"P13_006176_0935_XN_86S350W",-85.82,0.62
1042105,0.812,"P13_006176_0935_XN_86S350W",-87.05,17.16
1043503,0.811,"D14_032682_0925_XN_87S066W",-87.63,300.57
1040090,0.811,"P13_006123_0953_XN_84S001W",-86.22,8.86
1040342,0.811,"P13_006123_0953_XN_84S001W",-86.47,17.07
1319784,0.811,"G15_023927_0932_XI_86S057W",-86.73,305.34
488748,0.811,"G14_023807_0886_XN_88S313W",-88.48,42.96
1043486,0.811,"D14_032682_0925_XN_87S066W",-87.77,300.91
1320516,0.811,"P13_006005_0947_XN_85S015W",-86.80,4.29
